created_at,user,id,id_str,full_text,truncated,display_text_range,entities,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,lang,possibly_sensitive,retweeted_status,quoted_status,text,favorited_by,scopes,display_text_width,quoted_status_id,quoted_status_id_str,quoted_status_permalink,quote_count,timestamp_ms,reply_count,filter_level,metadata,query,withheld_scope,withheld_copyright,withheld_in_countries,possibly_sensitive_appealable
2022-09-04T13:26:24Z,cerave,1566417396881031200,1566417396881031170,@0hsai_kx We’re so glad to hear its working well for you! 💙,FALSE,59,,"<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>",1566323717361254400,1566323717361254401,1489377659788447700,1489377659788447745,0hsai_kx,,,,NA,FALSE,0,0,FALSE,FALSE,en,NA,,,@0hsai_kx We’re so glad to hear its working well for you! 💙,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-09-03T17:20:16Z,cerave,1566113864504299500,1566113864504299523,@priscilla_nurse 💙 💙,FALSE,20,,"<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>",1566104670254284800,1566104670254284800,478257247,478257247,priscilla_nurse,,,,NA,FALSE,0,1,FALSE,FALSE,und,NA,,,@priscilla_nurse 💙 💙,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-09-03T16:49:12Z,cerave,1566106043565965300,1566106043565965317,@Chenagrrl Thanks for the love 💙,FALSE,32,,"<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>",1566096912276721700,1566096912276721664,209771034,209771034,Chenagrrl,,,,NA,FALSE,0,0,FALSE,FALSE,en,NA,,,@Chenagrrl Thanks for the love 💙,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-09-03T14:15:34Z,cerave,1566067381352415200,1566067381352415233,"@Chenagrrl We're sorry to hear this! Please try refreshing or trying another browser. If this still doesn't work, we'd be happy to help recommend some products for you!",FALSE,168,,"<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>",1565872028720177200,1565872028720177152,209771034,209771034,Chenagrrl,,,,NA,FALSE,0,1,FALSE,FALSE,en,NA,,,"@Chenagrrl We're sorry to hear this! Please try refreshing or trying another browser. If this still doesn't work, we'd be happy to help recommend some products for you!",NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-09-03T14:12:32Z,cerave,1566066617750093800,1566066617750093825,@sna0303 Amazing! So happy you love it 💙,FALSE,40,,"<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>",1565771384852283400,1565771384852283399,1319482975483023400,1319482975483023362,sna0303,,,,NA,FALSE,0,0,FALSE,FALSE,en,NA,,,@sna0303 Amazing! So happy you love it 💙,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-09-03T14:12:00Z,cerave,1.5660664821859041e+018,1566066482185904131,@m___tweets We're sorry to hear that! Please try checking https://t.co/uqlhGWllqn!,FALSE,82,,"<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>",1565761556725600300,1565761556725600256,1376967433475477500,1376967433475477504,m___tweets,,,,NA,FALSE,0,0,FALSE,FALSE,en,FALSE,,,@m___tweets We're sorry to hear that! Please try checking https://t.co/uqlhGWllqn!,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-09-03T14:10:13Z,cerave,156606603460762e4,1566066034607620097,@BigDDemocrat So happy you're a fan 💙,FALSE,37,,"<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>",1565753666568478700,1565753666568478721,396243409,396243409,BigDDemocrat,,,,NA,FALSE,0,0,FALSE,FALSE,en,NA,,,@BigDDemocrat So happy you're a fan 💙,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-09-03T12:54:43Z,cerave,1566047034473386e3,1566047034473385986,@hobofreshh So happy to hear! Thank you for the support. 💙,FALSE,58,,"<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>",1565829918096871400,1565829918096871425,1239479583512068e3,1239479583512068096,hobofreshh,,,,NA,FALSE,0,1,FALSE,FALSE,en,NA,,,@hobofreshh So happy to hear! Thank you for the support. 💙,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-09-02T20:59:29Z,cerave,1565806641496342500,1565806641496342528,@Broken_Baddiee So glad you're a fan! 💙,FALSE,39,,"<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>",1564373954961326e3,1564373954961326081,1270106141008240600,1270106141008240651,Miko_Zahraddeen,,,,NA,FALSE,0,1,FALSE,FALSE,en,NA,,,@Broken_Baddiee So glad you're a fan! 💙,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-09-02T20:59:08Z,cerave,1565806554380734500,1565806554380734465,@ghbeautycreator So glad to hear that you're excited about our Renewing SA Cleanser! 💙,FALSE,86,,"<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>",1564387654006984700,1564387654006984705,1211463844574285800,1211463844574285825,ghbeautycreator,,,,NA,FALSE,0,1,FALSE,FALSE,en,NA,,,@ghbeautycreator So glad to hear that you're excited about our Renewing SA Cleanser! 💙,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
